Disassembly of section .text:

00000000001d64b0 <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch>:
  1d64b0:	55                                              	push   %rbp
  1d64b1:	41 57                                           	push   %r15
  1d64b3:	41 56                                           	push   %r14
  1d64b5:	41 55                                           	push   %r13
  1d64b7:	41 54                                           	push   %r12
  1d64b9:	53                                              	push   %rbx
  1d64ba:	48 81 ec b8 00 00 00                            	sub    $0xb8,%rsp
  1d64c1:	4d 89 c2                                        	mov    %r8,%r10
  1d64c4:	49 c1 ea 28                                     	shr    $0x28,%r10
  1d64c8:	44 89 d0                                        	mov    %r10d,%eax
  1d64cb:	41 b3 02                                        	mov    $0x2,%r11b
  1d64ce:	24 c0                                           	and    $0xc0,%al
  1d64d0:	74 32                                           	je     1d6504 <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0x54>
  1d64d2:	44 88 1f                                        	mov    %r11b,(%rdi)
  1d64d5:	44 88 57 01                                     	mov    %r10b,0x1(%rdi)
  1d64d9:	88 47 02                                        	mov    %al,0x2(%rdi)
  1d64dc:	48 8d 05 61 c3 e4 ff                            	lea    -0x1b3c9f(%rip),%rax        # 22844 <anon.7546d0c498ce2385869105782ec2390d.100.llvm.8852433796898213389>
  1d64e3:	48 89 47 08                                     	mov    %rax,0x8(%rdi)
  1d64e7:	48 c7 47 10 3b 00 00 00                         	movq   $0x3b,0x10(%rdi)
  1d64ef:	48 89 f8                                        	mov    %rdi,%rax
  1d64f2:	48 81 c4 b8 00 00 00                            	add    $0xb8,%rsp
  1d64f9:	5b                                              	pop    %rbx
  1d64fa:	41 5c                                           	pop    %r12
  1d64fc:	41 5d                                           	pop    %r13
  1d64fe:	41 5e                                           	pop    %r14
  1d6500:	41 5f                                           	pop    %r15
  1d6502:	5d                                              	pop    %rbp
  1d6503:	c3                                              	ret
  1d6504:	4d 89 c4                                        	mov    %r8,%r12
  1d6507:	49 c1 ec 20                                     	shr    $0x20,%r12
  1d650b:	45 84 e4                                        	test   %r12b,%r12b
  1d650e:	74 16                                           	je     1d6526 <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0x76>
  1d6510:	45 0f b7 f0                                     	movzwl %r8w,%r14d
  1d6514:	4c 39 f1                                        	cmp    %r14,%rcx
  1d6517:	73 12                                           	jae    1d652b <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0x7b>
  1d6519:	c6 07 01                                        	movb   $0x1,(%rdi)
  1d651c:	4c 89 77 08                                     	mov    %r14,0x8(%rdi)
  1d6520:	48 89 4f 10                                     	mov    %rcx,0x10(%rdi)
  1d6524:	eb c9                                           	jmp    1d64ef <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0x3f>
  1d6526:	41 b3 03                                        	mov    $0x3,%r11b
  1d6529:	eb a7                                           	jmp    1d64d2 <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0x22>
  1d652b:	49 89 d7                                        	mov    %rdx,%r15
  1d652e:	4d 89 c3                                        	mov    %r8,%r11
  1d6531:	49 c1 eb 10                                     	shr    $0x10,%r11
  1d6535:	41 0f b7 db                                     	movzwl %r11w,%ebx
  1d6539:	48 8d 43 ff                                     	lea    -0x1(%rbx),%rax
  1d653d:	48 f7 e1                                        	mul    %rcx
  1d6540:	0f 80 49 01 00 00                               	jo     1d668f <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0x1df>
  1d6546:	4c 01 f0                                        	add    %r14,%rax
  1d6549:	0f 82 40 01 00 00                               	jb     1d668f <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0x1df>
  1d654f:	4c 89 fa                                        	mov    %r15,%rdx
  1d6552:	49 39 c7                                        	cmp    %rax,%r15
  1d6555:	73 0d                                           	jae    1d6564 <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0xb4>
  1d6557:	c6 07 01                                        	movb   $0x1,(%rdi)
  1d655a:	48 89 47 08                                     	mov    %rax,0x8(%rdi)
  1d655e:	48 89 57 10                                     	mov    %rdx,0x10(%rdi)
  1d6562:	eb 8b                                           	jmp    1d64ef <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0x3f>
  1d6564:	48 8b 84 24 f0 00 00 00                         	mov    0xf0(%rsp),%rax
  1d656c:	41 80 fa 02                                     	cmp    $0x2,%r10b
  1d6570:	73 4a                                           	jae    1d65bc <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0x10c>
  1d6572:	66 41 83 f8 41                                  	cmp    $0x41,%r8w
  1d6577:	41 0f 92 c2                                     	setb   %r10b
  1d657b:	66 41 83 fb 41                                  	cmp    $0x41,%r11w
  1d6580:	41 0f 92 c3                                     	setb   %r11b
  1d6584:	45 84 da                                        	test   %r11b,%r10b
  1d6587:	74 33                                           	je     1d65bc <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0x10c>
  1d6589:	49 ba 00 00 00 00 ff ff ff ff                   	movabs $0xffffffff00000000,%r10
  1d6593:	4d 21 d0                                        	and    %r10,%r8
  1d6596:	c1 e3 10                                        	shl    $0x10,%ebx
  1d6599:	4c 09 c3                                        	or     %r8,%rbx
  1d659c:	4c 09 f3                                        	or     %r14,%rbx
  1d659f:	49 89 fe                                        	mov    %rdi,%r14
  1d65a2:	45 31 c0                                        	xor    %r8d,%r8d
  1d65a5:	50                                              	push   %rax
  1d65a6:	6a 00                                           	push   $0x0
  1d65a8:	41 51                                           	push   %r9
  1d65aa:	53                                              	push   %rbx
  1d65ab:	e8 e0 78 00 00                                  	call   1dde90 <emuella_j2k_tier1::packed_encode::encode>
  1d65b0:	48 83 c4 20                                     	add    $0x20,%rsp
  1d65b4:	4c 89 f0                                        	mov    %r14,%rax
  1d65b7:	e9 36 ff ff ff                                  	jmp    1d64f2 <emuella_j2k_tier1::encode_baseline_code_block_with_strided_scratch+0x42>
